DAT,WL_Flume (m3/hour),WL_Flume_OUT (m3/hour),Solar (W/m2),Precipitation (mm),WindSpeed (m/s),RH (%),delta PD (mm)
182.2083333,0,0.523282206,0,0.068,1.35,99.3,-0.2
182.25,0,0.443905671,3,0.068,2.02,97.2,0
182.2916667,0,0.339005737,64,0.034,2.6,94.9,-0.1
182.3333333,0,0.250386064,102,0.034,3.07,95.5,-0.1
182.375,0,0.17718292,341,0.017,3.16,94.6,-0.1
182.4166667,0,0.086847586,726,0.034,3.29,89.4,0
182.4583333,0,0.049905276,691,0.034,2.52,83.7,-0.1
182.5,0,0.013055782,491,0.017,1.73,79,0
182.5416667,0,0.001578469,850,0.034,2.22,69.4,0
182.5833333,0,0.000101543,828,0.017,1.93,65,-0.1
182.625,0,0,421,0.017,1.75,65.5,0
182.6666667,0,0,499,0,2.65,65.1,-0.1
182.7083333,0,0,373,0.017,2.91,64.1,-0.1
182.75,0,0,114,0,1.2,66.3,-0.1
182.7916667,0,0,60,0.017,1.96,68.2,0
182.8333333,0,0,11,0,2.7,72.1,-0.2
182.875,0,0,0,0,2.58,75.5,-0.1
182.9166667,0,0,0,0.017,1.24,77.8,-0.1
182.9583333,0,0,0,0,1.08,79.8,0
183,0,0,0,0,0.65,82.9,-0.1
183.0416667,0,0,0,0.017,0.57,85.6,-0.1
183.0833333,0,0,0,0,0.39,87.3,0
183.125,0,0,0,0,0.24,90.8,0
183.1666667,0,0,0,0.017,0.26,92.1,-0.1
183.2083333,0,0,0,0,0.37,92.3,0
183.25,0,0,7,0,0.31,92.1,-0.1
183.2916667,0,0,70,0,0.25,93.8,0
183.3333333,0,0,187,0.017,0.59,90.5,0
183.375,0,0,247,0,0.42,81.7,0
183.4166667,0,0,462,0,0.4,78,-0.1
183.4583333,0,0,891,0.017,0.81,64.7,0
183.5,0,0,836,0,0.92,61.1,0
183.5416667,0,0,369,0.017,1.17,61.1,0
183.5833333,0,0,369,0,1.65,64.9,0
183.625,0,0,165,0.017,0.74,67.9,0
183.6666667,0,0,167,0.017,0.84,70.5,-0.1
183.7083333,0,0,119,0,0.79,71.9,0
